hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
Kepler-923,5988.0,0.2627581068864723,1.11,1.26,4.28,0.07,4.68,3.0001215854337664,4.8212122,1,14.0117,,1,0,0,False
Kepler-924,6167.0,0.2929958665513021,1.14,1.23,4.32,0.01,3.09,3.02244486828837,1.82725,1,14.1368,,1,0,0,False
Kepler-925,4427.4,-0.68406,0.69,0.773259,4.50027,-0.099,,2.786122943738283,4.0478576,1,15.8155,,1,0,0,False
Kepler-926,5806.0,0.017040723515192233,1.01,1.01,4.43,0.03,4.37,2.964429825191178,7.5696717,1,14.2595,,1,0,0,False
Kepler-927,5743.0,-0.01928449571294686,0.99,0.99,4.45,0.03,4.37,2.9199588687600806,6.6524205,1,14.6011,,1,0,0,False
Kepler-928,4700.0,-0.6685226382613291,0.73,0.7,4.62,-0.11,4.37,2.7065547846682034,14.956245,1,15.3227,,1,0,0,False
Kepler-929,5869.0,0.04434663154541644,1.01,1.02,4.42,-0.04,3.47,3.1176788770217247,18.180479,1,14.5038,,1,0,0,False
Kepler-930,5875.0,0.37758,1.06,1.49083,4.11652,0.099,,2.9285986122466663,15.1901836,1,13.7625,,1,0,0,False
Kepler-931,5241.0,-0.35248347346503955,0.86,0.81,4.55,-0.01,4.68,,10.2344138,1,14.488,,1,0,0,False
Kepler-932,5331.0,-0.2913168478090936,0.87,0.84,4.54,-0.01,4.68,2.668024164654343,13.2704291,1,14.136,,1,0,0,False
Kepler-933,5346.0,-0.28643576022687567,0.87,0.84,4.54,-0.02,4.68,3.007406351503671,18.8634061,1,15.4379,,1,0,0,False
Kepler-934,5001.0,-0.47790128149707783,0.81,0.77,4.59,0.01,4.47,2.784430413097188,15.7998546,1,15.0341,,1,0,0,False
Kepler-935,4830.0,-0.5846759067857523,0.78,0.73,4.61,-0.01,3.8,2.673741367134994,5.2697328,1,14.9002,,1,0,0,False
Kepler-936,5482.0,-0.19257401192896878,0.92,0.89,4.51,0.05,4.57,2.9156103352206784,13.461531,1,14.7886,,1,0,0,False
Kepler-937,6095.0,0.26550435113438664,1.15,1.22,4.32,0.08,3.24,3.1963033309467486,2.8459044,1,15.1944,,2,0,0,False
Kepler-938,5533.0,-0.1764874558862773,0.92,0.89,4.51,-0.03,4.27,3.0726358473276636,19.5375497,1,,,1,0,0,False
Kepler-939,5471.0,-0.23600543949425018,0.88,0.85,4.54,-0.12,4.47,3.3208978583938378,3.6675156,1,15.5197,,1,0,0,False
Kepler-940,5505.07,-0.05668,0.97,1.02988,4.39926,-0.4403,,3.1006393109017214,10.0092413,1,15.4975,,1,0,0,False
Kepler-941,5312.02,-0.20576,0.91,0.931654,4.4586,-0.4088,,3.0367725719734855,11.5238443,1,15.5723,,1,0,0,False
Kepler-917,5418.0,-0.35012696268253224,0.8,0.76,4.58,-0.38,4.17,3.539140108579966,3.963496,1,15.8533,,1,0,0,False
Kepler-918,6028.0,0.1873925272106092,1.11,1.14,4.37,0.06,3.24,3.0107365762637683,5.5537812,1,14.9546,,1,0,0,False
Kepler-919,6113.0,0.26347817375930854,1.15,1.21,4.33,0.07,3.02,3.049167610563487,4.6063797,1,14.6785,,1,0,0,False
